Date,ITP_H,ITP_UH,CGP_H,CGP_UH,FTSE_H,FTSE_UH,ITP_H_D,ITP_UH_D,CGP_H_D,CGP_UH_D,FTSE_H_D,FTSE_UH_D
2024-09-16,50000000,50000000,50000000,50000000,50000000,50000000,0,0,0,0,0,0
2024-09-17,50104380,50104380,50535800,50535800,50190250,50190250,104383.6611,104383.5109,535801.093,535801.1,190254.1464,190254.1464
2024-09-18,49835510,49592090,50423960,50178350,49850820,49607990,-268875.7305,-512292.5795,-111840.1253,-357454.1,-339438.7361,-582260.9288
2024-09-19,50234830,50105270,51060970,50935430,50303800,50180130,399326.1048,513174.6129,637006.0491,757085.6,452986.0629,572135.3453
2024-09-20,49707970,49556280,50546490,50386830,49707670,49550660,-526863.043,-548987.6053,-514479.109,-548607.2,-596130.8384,-629470.85
2024-09-23,49899350,49864250,50728810,50688100,49887050,49847020,191374.1119,307967.4762,182322.665,301274.9,179383.6606,296361.8577
2024-09-24,50048850,49960690,50226260,50142310,50026570,49942960,149501.9628,96448.83404,-502549.5776,-545785.9,139517.3481,95939.30162
2024-09-25,50066110,49755040,50290670,49978360,49941410,49631270,17261.31652,-205657.6188,64405.42879,-163957.8,-85159.02052,-311687.1154
2024-09-26,50251970,50107300,50658010,50538650,50039260,49921350,185856.7045,352263.3654,367344.7887,560290.1,97846.16924,290080.5382
2024-09-27,50441790,50126580,50976050,50691270,50256080,49975330,189828.8857,19275.13425,318040.9728,152625.8,216825.7898,53974.77485
2024-09-30,50023170,49409480,50217180,49629410,49749950,49167640,-418628.7934,-717099.4661,-758867.2115,-1061861,-506135.248,-807682.366
2024-10-01,50317460,49723860,49781930,49208410,49989730,49413820,294294.7598,314379.9096,-435253.3931,-420998.6,239781.8023,246173.7661
2024-10-02,50538570,49812070,49583310,48891700,50075500,49377020,221108.0702,88211.21295,-198624.0102,-316714.7,85766.54089,-36795.41248
2024-10-03,50485920,49694450,49769200,48993340,50024760,49244920,-52651.14739,-117618.7307,185889.9624,101642.8,-50736.79835,-132102.6512
2024-10-04,50435720,49389360,50379810,49349040,50013280,48990010,-50201.35003,-305089.9276,610610.6407,355695.9,-11478.00623,-254909.5953
2024-10-07,50623730,49908180,50380090,49692560,50152200,49467780,188014.477,518822.661,281.611807,343524.4,138915.726,477769.3562
2024-10-08,50056080,49570610,50040160,49523520,49469700,48958950,-567645.4495,-337574.8829,-339926.9116,-169041.5,-682496.0523,-508830.8346
2024-10-09,50395270,50069910,50584410,50232020,49790420,49443550,339189.7483,499299.7004,544251.5765,708496.3,320714.7224,484601.0875
2024-10-10,50246940,49983980,50664070,50371710,49754180,49467070,-148334.4401,-85927.78746,79656.76928,139695.7,-36238.88503,23519.1925
2024-10-11,50283720,49827200,50856310,50363470,49850820,49367720,36781.73455,-156774.7858,192237.088,-8240.533,96637.02675,-99347.16871
2024-10-14,50526470,50099130,50879360,50410220,50086370,49624540,242745.7415,271929.4519,23046.88416,46746.8,235552.7527,256820.4637
2024-10-15,50216060,49936650,51164680,50818690,49824240,49487320,-310403.6528,-162486.9255,285320.3149,408475.8,-262130.2944,-137222.4439
2024-10-16,50878530,50908370,51408760,51376700,50306210,50274840,662466.557,971721.4651,244083.5532,558005.8,481975.9913,787521.5761
2024-10-17,51229460,51094940,51795190,51593200,50644440,50446940,350934.4646,186571.2459,386433.7519,216498.3,338229.5936,172094.3076
2024-10-18,51221470,50913230,51858030,51488270,50482580,50122630,-7992.50756,-181714.0588,62834.85959,-104925,-161865.8402,-324306.3269
